,Origin,Destination,Distance,Time
1556,8817,19454,68,1
1557,10523,14219,372,6
1558,14586,14586,0,0
1559,6615,6615,0,0
1560,13403,13209,58,1
1561,14586,11714,368,6
1562,12144,19454,213,4
1563,13209,5452,245,5
1564,8691,8832,35,1
1565,1862,2346,62,1
1566,18067,13403,219,4
1567,14219,15801,140,3
1568,4005,6492,210,3
1569,19113,19113,0,0
1570,6074,6074,0,0
1571,8832,14586,332,5
1572,17339,19154,122,2
1573,7801,17339,171,3
1574,8810,11211,46,1
1575,11211,2379,218,4
1576,3784,6095,141,2
1577,19113,3561,441,7
1578,2771,6095,82,2
1579,11236,3466,211,3
1580,6457,8007,194,3
1581,8832,14845,235,4
1582,19454,17339,111,2
1583,11236,19154,88,2
1584,19454,14586,319,5
1585,4005,1505,116,2
1586,4730,17922,698,10
1587,17339,1505,370,6
1588,17339,1887,407,6
1589,4730,3466,416,6
1590,13209,12901,242,4
1591,1532,3561,166,3
1592,1022,8810,197,3
1593,7801,6492,122,2
1594,16323,6457,444,7
1595,4072,19154,383,6
1596,6457,15639,445,7
1597,6457,13209,274,4
1598,13748,4005,390,6
1599,17756,19341,155,3
1600,8691,13209,281,4
1601,11101,3561,334,5
1602,2554,3053,142,5
1603,8007,13209,269,4
1604,1760,13748,290,4
1605,17756,16323,191,3
1606,1022,6457,51,1
1607,8691,1862,282,4
1608,11101,7606,17,0
1609,6074,18067,213,4
1610,8810,3784,306,5
1611,14845,2379,381,5
1612,2379,7606,217,3
1613,1862,11741,254,4
1614,13403,3561,302,5
1615,12144,1760,151,2
1616,8832,6279,166,3
1617,14219,17922,283,5
1618,2554,6457,199,6
1619,11101,11101,0,0
1620,1505,1532,7,0
1621,19341,1022,270,4
1622,6615,8007,153,2
1623,6615,12144,139,3
1624,17756,2346,381,6
1625,1887,6074,101,2
1626,8810,17756,188,3
1627,17339,4072,488,7
1628,19454,19341,34,1
1629,7801,5452,305,5
1630,2346,17339,403,6
1631,7801,7307,35,1
1632,16323,3561,642,10
1633,8007,1760,288,5
1634,17339,6457,289,5
1635,12901,1760,260,4
1636,11101,8817,40,1
1637,8817,6279,171,3
1638,1862,10523,199,3
1639,3561,14845,405,6
1640,13209,8817,247,4
1641,19454,1760,296,5
1642,13209,3561,354,6
1643,7606,5452,288,5
1644,1887,16323,559,8
1645,10913,6279,129,2
1646,2771,11236,194,3
1647,4005,18067,390,6
1648,19154,2379,300,5
1649,2554,1022,180,5
1650,18067,13748,121,2
1651,15801,16063,114,2
1652,14845,17339,190,3
1653,10913,18067,111,2
1654,1505,4072,121,2
1655,11714,11236,28,1
1656,8007,6457,194,3
1657,1862,16323,559,8
1658,13209,1022,232,3
1659,6457,14219,418,6
1660,6492,2346,142,2
1661,16063,19341,298,4
1662,14845,6492,286,4
1663,1760,1760,0,0
1664,13748,17339,189,3
1665,11239,14219,403,6
1666,14219,19454,357,6
1667,17756,12144,250,4
1668,17922,6095,259,4
1669,2346,7307,225,4
1670,15801,1532,459,7
1671,12901,6279,291,4
1672,15639,10523,367,6
1673,6074,6492,34,1
1674,4005,12144,253,4
1675,8810,14845,242,4
1676,1862,17922,358,6
1677,1862,11236,227,4
1678,7801,2379,250,4
1679,19154,17756,173,3
1680,4005,10913,289,5
1681,6615,13403,236,4
1682,7307,3561,345,5
1683,6615,1887,160,3
1684,11239,18067,106,2
1685,12144,6279,131,2
1686,17922,8810,124,2
1687,1862,7307,229,4
1688,14845,5452,341,6
1689,1887,2771,59,1
1690,6279,16063,521,8
1691,14586,12144,226,3
1692,14845,7307,232,4
1693,11236,12144,170,3
1694,15639,1532,529,8
1695,6492,11741,121,2
1696,1760,16323,536,8
1697,13209,1532,289,4
1698,3561,16415,594,9
1699,8691,17057,133,2
1700,19113,11741,156,3
1701,12901,17756,400,6
1702,1022,16063,531,8
1703,7606,16415,421,6
1704,14219,19341,381,6
1705,3561,11211,341,5
1706,14219,11239,395,6
1707,13748,6279,256,4
1708,19454,6615,161,3
1709,16063,19454,327,5
1710,4072,14219,545,8
1711,16063,8817,382,6
1712,6279,16415,516,7
1713,8832,6492,117,2
1714,10913,6492,80,1
1715,1862,11211,222,4
1716,1505,19454,283,4
1717,5452,6492,257,4
1718,13601,14219,217,3
1719,4730,6279,428,6
1720,18067,2346,312,5
1721,13209,16063,332,5
1722,2379,8817,252,4
1723,1505,4005,117,2
1724,10913,6095,113,2
1725,11714,14586,365,6
1726,3784,6615,201,3
1727,7801,19113,106,2
1728,3784,6492,173,3
1729,8810,7606,52,1
1730,12144,6615,139,3
1731,6279,6074,17,0
1732,7307,8810,43,1
1733,13601,3466,254,5
1734,13748,16323,292,5
1735,8691,5452,357,6
1736,2379,16415,570,8
1737,11239,4005,304,5
1738,13209,7801,218,3
1739,19454,11211,100,2
1740,14586,16063,255,4
1741,14586,2346,409,6
1742,6074,19341,242,4
1743,8832,17339,170,3
1744,1760,1505,27,1
1745,11236,17756,190,3
1746,7801,1532,219,4
1747,6279,2346,98,2
1748,13403,6074,203,3
1749,8810,3053,288,5
1750,11239,6492,94,2
1751,13209,17057,265,4
1752,4005,7606,300,5
1753,1022,2346,106,2
1754,12144,16063,475,7
1755,13601,14845,155,3
1756,19154,19113,25,1
1757,8817,3466,239,4
1758,1760,12144,152,2
1759,19454,3561,436,7
1760,1760,16415,539,8
1761,1887,8691,281,5
1762,19154,12901,385,6
1763,2554,2346,75,4
1764,17756,19454,151,2
1765,3466,2346,128,3
1766,19113,7307,100,2
1767,19341,3561,457,7
1768,12901,2346,285,5
1769,13748,14586,167,3
1770,8832,6095,151,3
1771,4005,3466,153,3
1772,8691,6457,165,3
1773,11211,16063,398,6
1774,8832,1760,226,4
1775,15639,1022,493,8
1776,14845,19113,249,4
1777,6457,15801,379,6
1778,5452,6457,248,4
1779,15639,4005,641,10
1780,6457,19113,208,3
1781,2771,12901,288,5
1782,2771,6074,91,2
1783,6615,13748,213,3
1784,8691,2554,342,8
1785,8817,16323,347,5
1786,10913,10523,11,0
1787,3561,1505,170,3
1788,19154,3053,326,5
1789,3784,17756,409,6
1790,10913,8832,50,1
1791,6457,1760,99,2
1792,11239,16063,411,6
1793,14845,1532,337,5
1794,6095,17057,301,5
1795,2771,1760,36,1
1796,2346,8817,254,4
1797,1505,1887,44,1
1798,8832,16323,349,5
1799,11211,19113,107,2
1800,6279,5452,251,4
1801,7801,1505,217,3
1802,13601,3784,259,5
1803,12901,3053,204,4
1804,11101,6492,86,2
1805,3053,14586,420,6
1806,14219,1887,467,7
1807,1532,14219,432,6
1808,6615,19113,167,3
1809,4072,6615,239,4
1810,7801,19454,81,2
1811,13748,3561,342,6
1812,2771,16063,578,9
1813,16063,6279,519,8
1814,12901,10523,295,4
1815,13403,11239,261,4
1816,11101,4005,296,5
1817,19113,6615,166,3
1818,4072,8691,361,6
1819,1760,14219,444,6
1820,12144,17756,252,4
1821,5452,5452,0,0
1822,11211,1022,152,3
1823,14219,10913,360,6
1824,11741,16323,404,6
1825,12144,6492,137,2
1826,10523,3561,318,5
1827,10913,4005,291,5
1828,1862,14586,398,6
1829,8007,4005,390,6
1830,11714,14219,409,7
1831,11714,13403,269,4
1832,2379,4072,123,2
1833,12901,6095,263,4
1834,7801,1887,255,4
1835,8007,3784,353,5
1836,3561,6279,221,3
1837,6279,7606,138,2
1838,19454,2346,316,5
1839,6457,1022,52,1
1840,8007,7307,94,3
1841,8691,16063,357,5
1842,8832,19341,94,2
1843,11211,6457,105,2
1844,4005,6074,179,3
1845,2379,19341,335,5
1846,12901,17922,419,6
1847,2554,14219,550,11
1848,1862,11239,225,4
1849,4072,12144,254,4
1850,11101,18067,94,2
1851,17339,11101,189,3
1852,11101,10523,25,1
1853,11714,7307,38,1
1854,19113,12901,406,6
1855,1887,16415,561,8
1856,19454,17057,103,2
1857,17339,8832,170,3
1858,14586,8810,336,5
1859,11236,11239,1,0
1860,19113,3466,309,5
1861,3053,12144,196,3
1862,14219,13403,201,3
1863,6615,11211,63,1
1864,10913,8817,58,1
1865,2771,17922,324,5
1866,13209,19113,265,4
1867,3561,14219,499,8
1868,3053,15801,515,8
1869,2771,16415,552,8
1870,19154,1022,234,4
1871,4005,16415,639,9
1872,17339,13403,287,5
1873,4730,5452,398,8
1874,14586,19454,320,5
1875,14219,19154,382,6
1876,16415,17756,268,4
1877,8691,12901,363,5
1878,3466,6457,107,2
1879,10913,11101,27,1
1880,11236,2346,224,4
1881,14219,17339,298,5
1882,1022,8832,178,3
1883,13601,19341,328,5
1884,3053,13748,333,5
1885,1532,19341,307,5
1886,7801,15801,251,4
1887,8817,3784,296,5
1888,12901,6457,288,4
1889,13209,1862,324,5
1890,6615,7307,70,1
1891,10913,7606,22,1
1892,13209,2771,313,5
1893,8817,10523,58,1
1894,11714,8007,124,2
1895,6492,1532,97,2
1896,15801,10523,303,5
1897,11714,6457,115,2
1898,7801,8007,103,2
1899,1887,16063,605,9
1900,3784,3053,85,1
1901,1760,6095,87,1
1902,13209,13748,84,1
1903,14845,1887,372,5
1904,4730,3053,347,5
1905,8817,7606,40,1
1906,11236,17057,194,3
1907,3561,10913,330,5
1908,4730,3561,309,6
1909,19154,6457,186,3
1910,11239,16415,452,7
1911,7307,4072,311,5
1912,16415,1022,470,7
1913,16063,2346,613,9
1914,19341,14586,324,5
1915,4730,7606,562,8
1916,8817,3053,278,4
1917,14586,3561,429,7
1918,11741,6279,170,3
1919,8691,4072,364,6
1920,11239,17057,194,3
1921,8007,1887,313,5
1922,15801,7801,250,4
1923,15801,14219,141,3
1924,11211,6492,91,2
1925,18067,1022,245,4
1926,1505,3561,171,3
1927,8832,17922,121,2
1928,1887,14845,372,5
1929,4005,6095,189,3
1930,6457,3053,145,2
1931,19154,12144,225,3
1932,14845,19154,246,4
1933,1760,19113,303,5
1934,13403,6095,202,3
1935,2346,15801,505,7
1936,13403,15801,329,5
1937,16415,6457,501,7
1938,7606,6615,63,1
1939,15801,16415,145,2
1940,17756,12901,400,6
1941,13601,2554,430,9
1942,12901,15639,623,9
1943,6279,11236,144,2
1944,10913,2379,209,3
1945,12144,10523,135,2
1946,16415,15801,144,2
1947,4072,19454,398,6
1948,7801,6615,94,2
1949,13209,11236,262,4
1950,11236,7307,14,1
1951,3784,10523,240,4
1952,14845,15801,199,3
1953,15639,7606,344,5
1954,12901,12901,0,0
1955,2771,4005,134,2
1956,19113,17057,112,2
1957,3784,11236,268,4
1958,2554,11236,289,7
1959,19113,1505,288,5
1960,8810,6457,149,3
1961,6457,11741,136,2
1962,6615,2379,155,2
1963,3053,19454,341,5
1964,12901,6492,297,4
1965,6074,6279,17,0
1966,12144,1532,140,2
1967,7307,14845,232,4
1968,12144,12901,162,2
1969,4005,8832,328,5
1970,3466,13209,229,4
1971,19341,13209,263,4
1972,6279,17756,287,5
1973,8810,18067,81,2
1974,3053,16323,580,9
1975,19113,12144,246,4
1976,3784,19341,382,6
1977,19154,6492,172,3
1978,16063,11101,398,6
1979,4005,15639,641,10
1980,19154,6615,145,2
1981,11101,4072,301,5
1982,15801,8691,296,4
1983,15639,3466,547,8
1984,1862,3561,142,2
1985,13403,11741,290,4
1986,3053,6074,122,2
1987,16063,7606,391,6
1988,2554,16063,674,13
1989,19341,12144,245,4
1990,3561,6492,250,4
1991,6279,1022,55,1
1992,4730,1532,373,5
1993,8832,4005,327,5
1994,14845,17756,107,2
1995,6074,15801,395,6
1996,3053,1760,57,1
1997,10523,1532,168,3
1998,14219,11211,372,6
1999,16063,4072,685,10
2000,11714,8810,79,2
2001,8810,8691,16,0
2002,19454,4005,398,6
2003,8817,15639,328,5
2004,19113,1760,301,5
2005,7606,19341,123,2
2006,6095,8832,151,3
2007,11741,8832,80,1
2008,14845,6615,273,4
2009,11101,6279,135,2
2010,2771,7801,221,4
2011,16415,10523,445,7
2012,4072,1760,112,2
2013,15639,16323,116,2
2014,8007,11101,95,2
2015,4072,7307,311,5
2016,1532,1532,0,0
2017,6615,11714,76,1
2018,10913,6457,96,2
2019,4730,17339,746,11
2020,7307,16415,423,6
2021,8817,17756,178,3
2022,13601,1887,349,6
2023,11239,11741,48,1
2024,7307,3784,269,4
2025,16415,14586,170,3
2026,6279,17339,322,5
2027,7801,17922,112,2
2028,1022,13748,220,3
2029,8810,6492,134,2
2030,6492,14586,359,5
2031,3784,6457,163,2
2032,12144,19154,225,3
2033,11714,2346,229,4
2034,1862,6615,160,2
2035,11741,13209,306,5
2036,13601,8817,313,5
2037,11211,6615,63,1
2038,4005,8691,360,6
2039,13601,10523,313,5
2040,17339,8691,140,2
2041,1022,3466,65,1
2042,1887,6615,160,2
2043,3053,17339,429,7
2044,1862,12144,175,3
2045,7606,3466,206,3
2046,4072,19113,405,6
2047,14586,11741,386,6
2048,1022,12901,242,4
2049,2554,3466,201,6
