Path ID,ADV [Corrected]
149-145,12.03
29-181,69.26
41-70,8.63
131-86,18.87
29-47,5.19
54-103,10.4
54-85,21.32
85-103,556.26
145-193,2.77
40-104,9.77
190-60,4.32
114-136,18
166-116,3.72
135-74,13.68
60-152,7.11
149-17,1.95
47-81,0.77
166-3071,9.26
104-76,12.44
171-3024,27.37
110-3081,20.71
115-18,33
40-106,12.93
31-70,90.37
135-179,8.33
16-64,90.62
27-115,0.98
108-85,60.13
54-44,5.57
176-158,135.17
21-18,27.85
16-3024,14.3
44-26,7.42
171-20,39.68
85-136,82.06
28-3118,25.21
149-21,1.66
131-31,12.32
179-43,8.7
26-110,11.85
106-28,22.21
54-3102,17.14
74-44,7.08
156-3112,10.13
16-106,25.26
149-75,1.15
18-136,3.6
85-179,195.56
103-150,42.53
88-114,740.2
18-192,9.93
21-31,56.8
110-20,18.42
117-107,58.36
117-125,34.67
191-100,104.91
156-47,2.92
179-24,8.12
125-74,8.52
40-156,9
156-190,58.45
122-40,192.05
35-70,9.52
20-35,18.86
185-41,370.36
177-165,13.3
41-85,5.01
110-81,51.1
20-3081,4.92
156-185,84.09
44-21,2.85
135-64,57.82
185-158,68.69
122-117,119.68
193-26,10.15
20-60,15.18
37-43,7.62
31-3112,120.65
146-66,18.12
76-26,15.57
115-3117,93.72
34-28,9.09
116-127,15.14
116-24,17.27
139-29,3.55
54-125,6.61
108-88,61.45
35-158,1.84
34-41,7.69
166-26,6.84
166-3102,1.03
41-135,2.12
68-40,39.94
166-131,5.43
85-145,220.4
40-115,7.16
111-44,2.75
34-145,6.76
40-76,5.47
18-18,64.69
106-24,16.63
74-185,38.21
142-31,143.86
110-3024,21.11
145-41,3.88
21-142,41.23
35-142,15.48
122-130,320.18
20-68,27.85
37-3114,1.34
41-3101,9.65
44-16,5.32
165-149,7.77
76-54,8.65
111-152,11.48
135-29,24.99
37-142,5.41
69-3081,8.32
122-194,101.92
86-16,206.61
60-31,618.29
116-18,17.49
116-111,16.59
21-163,2.44
127-40,53.42
111-81,21.35
107-146,5
192-66,28.65
111-158,2.02
75-114,24.84
66-131,16.59
114-37,8.59
31-108,31.37
136-26,3.48
181-29,276.25
192-24,25.69
54-86,27.91
131-139,102.12
88-74,251.66
179-125,4.66
192-3101,11.37
28-54,40.17
100-3024,26.09
129-76,13.98
60-27,6.94
24-35,67.14
156-18,19.46
20-163,5.57
75-135,9.12
111-76,16.63
18-41,29.01
125-27,1.43
156-176,67.61
135-34,1.98
